timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
2025-08-29 00:00:00+00:00,2025-08-29 23:59:59.999000+00:00,2025-08-29 00:03:00+00:00,2025-08-29 14:17:00+00:00,4507.63,4513.86,4272.46,4360.15,46899991962.0,526291928850.0,2025-08-29 23:59:59.999000+00:00
2025-08-28 00:00:00+00:00,2025-08-28 23:59:59.999000+00:00,2025-08-28 08:10:00+00:00,2025-08-28 20:01:00+00:00,4503.63,4629.03,4435.11,4507.18,36045274078.0,544101729769.0,2025-08-28 23:59:59.999000+00:00
2025-08-27 00:00:00+00:00,2025-08-27 23:59:59.999000+00:00,2025-08-27 15:58:00+00:00,2025-08-27 22:08:00+00:00,4600.51,4659.99,4489.3,4503.39,43509902322.0,543619435754.0,2025-08-27 23:59:59.999000+00:00
2025-08-26 00:00:00+00:00,2025-08-26 23:59:59.999000+00:00,2025-08-26 23:12:00+00:00,2025-08-26 01:02:00+00:00,4372.88,4632.07,4316.3,4600.43,53829747706.0,555313823169.0,2025-08-26 23:59:59.999000+00:00
2025-08-25 00:00:00+00:00,2025-08-25 23:59:59.999000+00:00,2025-08-25 00:09:00+00:00,2025-08-25 20:51:00+00:00,4779.77,4796.35,4343.95,4372.99,63936163545.0,527837688641.0,2025-08-25 23:59:59.999000+00:00
2025-08-24 00:00:00+00:00,2025-08-24 23:59:59.999000+00:00,2025-08-24 19:24:00+00:00,2025-08-24 20:10:00+00:00,4776.7,4953.73,4714.47,4779.65,52405003873.0,576952432427.0,2025-08-24 23:59:59.999000+00:00
2025-08-23 00:00:00+00:00,2025-08-23 23:59:59.999000+00:00,2025-08-23 00:00:00+00:00,2025-08-23 02:39:00+00:00,4831.09,4831.61,4669.72,4776.09,36503623278.0,576582791136.0,2025-08-23 23:59:59.999000+00:00
2025-08-22 00:00:00+00:00,2025-08-22 23:59:59.999000+00:00,2025-08-22 21:31:00+00:00,2025-08-22 12:34:00+00:00,4223.73,4884.23,4209.47,4831.35,75965521535.0,583148723755.0,2025-08-22 23:59:59.999000+00:00
2025-08-21 00:00:00+00:00,2025-08-21 23:59:59.999000+00:00,2025-08-21 02:02:00+00:00,2025-08-21 20:37:00+00:00,4334.57,4338.83,4205.78,4223.21,33618359942.0,509836385510.0,2025-08-21 23:59:59.999000+00:00
2025-08-20 00:00:00+00:00,2025-08-20 23:59:59.999000+00:00,2025-08-20 22:57:00+00:00,2025-08-20 01:39:00+00:00,4073.17,4376.79,4064.97,4334.5,49577862965.0,523215646295.0,2025-08-20 23:59:59.999000+00:00
